"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 08, Cleveland, Ohio",08-RM-288332,"Pollak Innovative Management Partners, LLC",Closed,12/31/2021,02/10/2022,"Withdrawal Adjusted",Hudson,OH,6,"Involved Party, Legal Representative, HARSHMAN CATHRINE, Hunter, Carnahan, Shoub, Byard & Harshman, 3360 Tremont Road, 2nd Floor, Suite 230, Columbus, OH, 43221-2111, (614)442-5626
Petitioner, Legal Representative, Gross Joseph, Benesch, Friedlander, Coplan & Aronoff LLP, 200 Public Square, Suite 2300, Cleveland, OH, 44114-2378, (216)363-4163
Involved Party, Union, Service Employees International Union District 1199 WV/OH/KY, Columbus, OH, 43215, (216)212-5862
Petitioner, Employer, Pollak Innovative Management Partners, LLC, Euclid, OH, 44132, (216)363-4163
",,,
R,"Region 08, Cleveland, Ohio",08-RD-288305,"Cleveland Clinic Akron General",Closed,12/30/2021,01/26/2022,"Withdrawal Non-adjusted",Akron,OH,38,"Employer, Legal Representative, Fitzgerald Brendan, Littler Mendelson, P.C., 41 South High Street, Suite 3250, Columbus, OH, 43215, (614)463-4237
Involved Party, Notification, Jury David, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)400-8716
Involved Party, Legal Representative, Porcaro James, Fusco Gallagher Porcaro & Monroe, 1215 Superior Ave East, Suite 225, Cleveland, OH, 44144, (216)774-3010
Involved Party, Legal Representative, Lutwen Matthew, United Steel, Paper, Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)562-2466
Involved Party, Union, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO., CLC, Akron, OH, 44308, (330)434-3159
Employer, Employer, Cleveland Clinic Akron General, Akron, OH, 44307, (330)344-6000
Petitioner, Individual
",,"Included: Surgical Technicians Excluded: All others",
R,"Region 28, Phoenix, Arizona",28-RC-288330,"CoreCivic of Tennessee, LLC d/b/a Central Arizona Florence Correctional Center",Closed,12/30/2021,03/31/2022,"Certific. of Representative",Florence,AZ,17,"Petitioner, Additional Service, Barrett Gerald, Gilbert & Sackman, A Law Corporation, 3838 North Central Avenue, Suite 1720, Phoenix, AZ, 85016, (602)279-1717
Employer, Legal Representative, Warnock Henry, Ford Harrison LLP, 271 17th Street NW, Suite 1900, Atlanta, GA, 30363-6202, (404)888-3808
Employer, Employer, CoreCivic of Tennessee, LLC d/b/a Central Arizona Florence Correctional Center, Florence, AZ, 85132, (615)263-3297
Petitioner, Union, United Association of Plumbers and Pipefitters, Local 469, Phoenix, AZ, 85016, (602)956-9350
","United Association of Plumbers and Pipefitters, Local 469","Included: All full-time and regular part-time maintenance employees including apprentices and helpers employed by the Employer at the Central Arizona Florence Correctional Center.

Excluded: All other employees, office clerical employees, managers, guards, and supervisors as defined in the Act at the is Central Arizona Florence Correctional Center.",17
R,"Region 08, Cleveland, Ohio",08-RD-288306,"Cleveland Clinic Akron General",Closed,12/30/2021,01/26/2022,"Withdrawal Non-adjusted",Akron,OH,30,"Employer, Legal Representative, Fitzgerald Brendan, Littler Mendelson, P.C., 41 South High Street, Suite 3250, Columbus, OH, 43215, (614)463-4237
Involved Party, Notification, Jury David, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO, CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)400-8716
Involved Party, Legal Representative, Porcaro James, Fusco Gallagher Porcaro & Monroe, 1215 Superior Ave East, Suite 225, Cleveland, OH, 44144, (216)774-3010
Involved Party, Legal Representative, Lutwen Matthew, United Steel, Paper, Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union, AFL-CIO/CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)562-2466
Employer, Employer, Cleveland Clinic Akron General, Akron, OH, 44307, (330)344-6000
Petitioner, Individual
Involved Party, Union, United Steelworkers, Akron, OH, 44308, (330)434-3159
",,"Included: Sterile Processing Employees Excluded: All others",
R,"Region 06, Pittsburgh, Pennsylvania",06-RM-288361,"South Western Housing and Health Care, Inc. d/b/a Avalon Springs Place",Closed,12/30/2021,02/25/2022,"Certification of Results",Mercer,PA,45,"Involved Party, Notification, Jury David, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union (USW), AFL-CIO, CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)562-2545
Petitioner, Legal Representative, Quinn Joseph, Cozen O’Connor, One Oxford Centre, 41st Floor, 301 Grant Street, Pittsburgh, PA, 15219, (412)620-6514
Involved Party, Legal Representative, Kilbert Nathan, United Steel, Paper and Forestry, Rubber, Manufacturing, Energy, Allied Industrial and Service Workers International Union (USW), AFL-CIO, CLC, 60 Boulevard of the Allies, Room 807, Pittsburgh, PA, 15222, (412)562-2548
Petitioner, Employer, South Western Housing and Health Care, Inc. d/b/a Avalon Springs Place, Mercer, PA, 16137, (724)662-5400
Involved Party, Union, United Steelworkers Local 1355-03, North Versailles, PA, 15137, (724)601-1768
",,"Included: LPN, CNA, Housekeeping, Dietary, Laundry Activities and Maintenace
Excluded: Registered Nurses and Management",38
R,"Region 27, Denver, Colorado",27-RC-288318,"Starbucks Corporation",Closed,12/30/2021,05/23/2022,"Certific. of Representative",Louisville,CO,24,"Employer, Legal Representative, Tuzzo Adam-Paul, Littler Mendelson, P.C., 111 East Kilbourn Avenue, Suite 1000, Milwaukee, WI, 53202, (414)978-4606
Petitioner, Legal Representative, Luscombe George, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603, (312)372-1361
Petitioner, Legal Representative, Cervone Robert, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603, (312)801-8848
Petitioner, Union, Chicago and Midwest Regional Joint Board, Workers United/SEIU, Chicago, IL, 60607
Employer, Employer, Starbucks Corporation, Louisville, CO, 80027, (303)494-5673
","Chicago and Midwest Regional Joint Board, Workers United / SEIU","Include: All full-time and part-time Baristas and Shift Supervisors. Exclude: Store Mangers, office clericals, guards, professional employees, and supervisors.",30
R,"Region 18, Minneapolis, Minnesota",18-RC-288324,"Central Network Retail Group, LLC d/b/a Frattallone's Hardware and Garden",Closed,12/30/2021,02/01/2022,"Withdrawal Non-adjusted","Circle Pines",MN,15,"Petitioner, Legal Representative, Lichtman David, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603, (312)372-1361
Employer, Additional Service, Frattallone Michael, Central Network Retail Group, LLC d/b/a Frattallone's Hardware and Garden, 1103 W County Rd. E, St. Paul, MN, 55112, (651)280-4090
Employer, Legal Representative, Zech Paul, Felhaber Larson, 220 South Sixth Street, Suite 2200, Minneapolis, MN, 55402-4504, (612)339-6321
Petitioner, Legal Representative, Cervone Robert, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603, (312)801-8848
Employer, Legal Representative, Trachsel Thomas, Felhaber Larson, 220 South Sixth Street, Suite 2200, Minneapolis, MN, 55402-4504, (612)339-6321
Employer, Employer, Central Network Retail Group, LLC d/b/a Frattallone's Hardware and Garden, Circle Pines, MN, 55014, (763)783-9161
Petitioner, Union, Chicago and Midwest Regional Joint Board, Workers United/SEIU, CHICAGO, IL, 60607
",,"Included:  Full-time and part-time cashiers, sales associates, window shop techs and closers.

Excluded:  Store Mgr, guards, professional employees, and supervisors as defined by the Act.",
R,"Region 04, Philadelphia, Pennsylvania",04-RC-288206,"Riverstreet Center Opco, LLC",Closed,12/29/2021,03/17/2022,"Certific. of Representative",Wilkes-Barre,PA,18,"Employer, Legal Representative, Bogaty Ian, Jackson Lewis P.C., 58 South Service Road, Suite 250, Melville, NY, 11747, (631)247-0404
Employer, Legal Representative, Czak Mary-Ann, Jackson Lewis P.C., 58 South Service Road, Suite 250, Melville, NY, 11747, (631)247-4684
Petitioner, Union, Retail, Wholesale, Department Store Union/United Food Commercial Workers Union, Kenilworth, NJ, 07033, (908)298-8824
Employer, Employer, Riverstreet Center OPCO, LLC d/b/a Riverstreet Manor, Wilkes-Barre, PA, 18702, (570)831-8611
","Retail, Wholesale, Department Store Union/United Food Commercial Workers (RWDSU/UFCW)","Included:  All full time, part time and PRN License Practice Nurses

Excluded:  All supervisors and management positions define by the Act",17
R,"Region 08, Cleveland, Ohio",08-RD-288251,"Auto-Tronic Control",Closed,12/29/2021,06/01/2022,"Dismissal Non-adjusted",Northwood,OH,1,"Involved Party, Legal Representative, McHale Christopher, The Law Offices of Christopher McHale, 1411 Broadway, 16th Floor, New York, NY, 10018, (703)727-1468
Employer, Legal Representative, McHale Christopher, The Law Offices of Christopher McHale, 1411 Broadway, 16th Floor, New York, NY, 10018, (703)727-1468
Involved Party, Legal Representative, Wasserman Clinton, 405 Madison Ave., Suite 1550, Toledo, OH, 43604, (419)243-9005
Petitioner, Individual
Employer, Employer, Auto-Tronic Control Company, Northwood, OH, 43619
Involved Party, Employer, Fab-Steel Company, Inc., Northwood, OH, 43619, (419)666-5100
Involved Party, Union, International Brotherhood of Electrical Workers Local 1413, Perrysburg, OH, 43551
",,"All production and maintenance employees.",
R,"Region 01, Boston, Massachusetts",01-RC-288234,"C&W Facility Services Inc.",Closed,12/29/2021,02/25/2022,"Certific. of Representative",Marlborough,MA,5,"Employer, Legal Representative, Telegen Arthur, Seyfarth Shaw LLP, Two Seaport Lane Ste 1200, Boston, MA, 02210, (617)946-4949
Employer, Legal Representative, CANAVAN JAMES, C & W Facility Services Inc., 200 BROADACRES DRIVE, SUITE 160, BLOOMFIELD, NJ, 07003, (973)771-2541
Petitioner, Legal Representative, Racine James, SANDULLI GRACE, PC, 44 School Street, 11th Floor, Boston, MA, 02108
Employer, Employer, C & W Facility Services Inc., Marlborough, MA, 07003
Petitioner, Union, International Union of Operating Engineers, Local 877, Saint Augustine, FL, 32092, (781)769-1877
","International Union of Operating Engineers Local 877 & Local 4","Included:  All full-time, regular part-time, and per diem skilled trades employees including Electricians, Painters, Carpenters, Plumbers, Maintenance Mechanics, Licensed Engineers, Licensed Firemen, HVAC Mechanics, working foremen, Chiefs and Leads.  Excluded:  All clerical/administrative, managers, confidential employees, and guards and professional employees and supervisors as defined in the Act.",5
