"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 03, Buffalo, New York",03-RM-332708,"Be Our Guest, Ltd. d/b/a Rich's Catering and Special Events",Closed,12/29/2023,12/03/2024,"Certification of Results",Buffalo,NY,64,"Involved Party, Legal Representative, Sellers Claire, Hayes Dolce, 135 Delaware Avenue, Suite 502, Buffalo, NY, 14202, (716)609-9988
Petitioner, Legal Representative, Schroder Ginger, Schröder, Joseph & Associates, LLP, 394 Franklin Street, 2nd Floor, Buffalo, NY, 14202, (716)881-4901
Petitioner, Employer, Be Our Guest, Ltd. d/b/a Rich’s Catering and Special Events, Buffalo, NY, 14213, (716)878-8177
Involved Party, Union, Workers United Rochester Regional Joint Board, Rochester, NY, 14607-2100
",,"Included: Catering Servers, Conference Servers, Off-site Catering Representatives, Captains

Excluded: Administrative Assistant, Administrative Assistant/Content Creator, Apprentice, Baker/Wedding Cake Decorator, Baker/Cake Decorator, Cafe Attendant, Cook, Dishwasher, Event Coordinator, Event Steward/Porter, Event Steward Assistant/Porter, Kitchen Receiver, Managers, Supervisors, Office/Administration/Accounting/Sales
",
R,"Region 03, Buffalo, New York",03-RC-332702,"Be Our Guest, Ltd. d/b/a Rich’s Catering and Special Events",Closed,12/29/2023,12/03/2024,"Certification of Results",Buffalo,NY,52,"Petitioner, Legal Representative, Sellers Claire, Hayes Dolce, 135 Delaware Avenue, Suite 502, Buffalo, NY, 14202, (716)609-9988
Employer, Legal Representative, Schroder Ginger, Schröder, Joseph & Associates, LLP, 394 Franklin Street, 2nd Floor, Buffalo, NY, 14202, (716)881-4901
Employer, Legal Representative, Giambra Heather, SCHRODER, JOSEPH & ASSOCIATES LLP, 394 Franklin Street, 2nd Floor, Buffalo, NY, 14202, (716)881-4905
Employer, Employer, Be Our Guest, Ltd. d/b/a Rich’s Catering and Special Events, Buffalo, NY, 14213, (716)878-8177
Petitioner, Union, Buffalo, NY, 14214, (716)397-6938
Employer, 
",,"Included: Servers, Event Assistant/Steward/Porters

Excluded: All Other Employees, Guards, Confidential Employees and Supervisors as defined under the Act.",62
R,"Region 25, Indianapolis, Indiana",25-RC-332737,"Hallcon Corporation",Closed,12/29/2023,02/23/2024,"Certific. of Representative",Lafayette,IN,6,"Petitioner, Legal Representative, Vlink David, Teamsters Joint Council 69, 2829 Madison Avenue, Indianapolis, IN, 46225, (317)639-3541
Employer, Legal Representative, Wilson Patrick, Maynard Nexsen, 205 King Street, Suite 400, Charleston, SC, 29401, (312)443-0547
Employer, Employer, Hallcon Corporation, Chicago, IL, 60603
Petitioner, Union, Teamsters Joint Council 69, Indianapolis, IN, 46225
","Teamsters Local 135","Included: Yard Drivers, Shuttle Drivers, Distance/Road Drivers at LaFayette, IN location
Excluded: Office clerical, professional, managerial, guards, and supervisors as defined in the Act",11
R,"Region 14, Saint Louis, Missouri",14-RM-332731,"Starbucks Corporation",Closed,12/29/2023,02/26/2024,"Dismissal Non-adjusted",Omaha,NE,16,"Petitioner, Legal Representative, Sislak Monica, Littler Mendelson, P.C., 127 Public Square, Suite 1600, Key Tower, Cleveland, OH, 44114, (216)623-6140
Involved Party, Legal Representative, Cervone Robert, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich LLP, 8 South Michigan Avenue, 19th Floor, Chicago, IL, 60603-3315, (312)801-8848
Petitioner, Employer, Starbucks Corporation, Omaha, NE, 68114
Involved Party, Union, Workers United, affiliated with Service Employees International Union, Philadelphia, PA, 19103, (646)448-6414
",,"Included: All full-time and regular part time baristas and shift supervisors employed by the Employer at its facility located at
219 South 72nd Street, Crossroads Corner, Omaha, NE 68114;
Excluded: All store managers, assistant store managers, office clericals, confidential employees, managerial employees,
and all other employees, professional employees and guards and supervisors as defined in the Act.",
R,"Region 19, Seattle, Washington",19-RC-332766,"Providence Health and Services - Oregon d/b/a Providence Medical Group",Closed,12/29/2023,02/29/2024,"Certific. of Representative",Portland,OR,76,"Employer, Additional Service, Fultz Marilyn, Providence Health and Services - Oregon d/b/a Providence Portland Medical Center, 4400 NE Halsey St Bldg 2 Ste 292, Portland, OR, 97213-1545, (503)403-6264
Employer, Legal Representative, Cecil Matthew, Providence Health and Services - Oregon d/b/a Providence Portland Medical Center, 4400 NE Halsey St Bldg 2, Ste. 292, Portland, OR, 97213, (971)232-9202
Petitioner, Union, Pacific Northwest Hospital Medicine Association, Tualatin, OR, 97062-8498, (503)333-5975
Employer, Employer, Providence Health and Services - Oregon d/b/a Providence Medical Group, Renton, WA, 98057, (425)943-9056
","Pacific Northwest Hospital Medicine Association","Included: All MD, DO's, physicians, physician assistants, physician associates, and Nurse Practitioners employed in Providence Immediate Care locations in the Portland Metropolitan Area including Mill Plain and Canby locations. Excluded: Supervisors.",73
R,"Region 19, Seattle, Washington",19-RM-332798,"HIS Innovations Group",Closed,12/29/2023,03/01/2024,"Withdrawal Non-adjusted",Hillsboro,OR,10,"Involved Party, Legal Representative, Hutzenbiler Daniel, McKanna Bishop Joffe LLP, 1635 NW Johnson Street, Portland, OR, 97209-2310, (503)226-6111
Involved Party, Legal Representative, McCullough Donald, McKanna Bishop Joffe LLP, 1635 NW Johnson Street, Portland, OR, 97209-2310, (971)438-0810
Petitioner, Legal Representative, Laiho Erik, Fisher & Phillips LLP, 111 SW 5th Avenue, Suite 4040, Portland, OR, 97204-3643, (206)247-7015
Petitioner, Legal Representative, Grimaldi Rick, Fisher & Phillips LLP, Two Logan Square  12th Floor, 100 North 18th Street, Philadelphia, PA, 19103, (610)230-2150
Petitioner, Legal Representative, Lyon Todd, Fisher & Phillips, LLP, 111 SW 5th Ave., Suite 4040, Portland, OR, 97204-3643, (503)715-7842
Petitioner, Employer, Hoffman Instrument Supply, Inc. d/b/a HIS Innovations Group, Hillsboro, OR, 97124, (503)466-2200
Involved Party, Union, United Association, Local 290, Tualatin, OR, 97062, (503)691-5700
",,"Included: All regular full-time and part-time metal pipe welders in the spool department who work at the Employer’s Hillsboro location. Excluded: All other employees (including but not limited to plastic welders, metal frame welders in the frame department, other metal structural welders, and robotic welding programmers and operators) who work at the Employer’s Hillsboro and Portland locations, office clerical employees, managers, guard, and supervisors as defined in the Act.",
R,"Region 01, Boston, Massachusetts",01-RC-332644,"Brown University",Closed,12/28/2023,01/12/2024,"Withdrawal Non-adjusted",Providence,RI,380,"Employer, Legal Representative, WHELAN JOSEPH, WHELAN CORRENTE & FLANDERS LLP, 100 WESTMINSTER STREET, SUITE 710, PROVIDENCE, RI, 02903, (401)270-5459
Petitioner, Legal Representative, Gursky Marc, Gursky, Wiens and Shanley, 20 Centerville Road, 2nd Floor, Warwick, RI, 02886, (401)294-4700
Employer, Legal Representative, Parker Matthew, Whelan, Corrente & Flanders, LLP, 100 Westminster St., Suite 710, Providence, RI, 02903-2364, (401)270-3262
Employer, Employer, Brown University, Providence, RI, 02912, (401)863-3413
Petitioner, Union, GRADUATE LABOR ORGANIZATION, RIFT/AFT LOCAL 6516, Providence, RI, 02903
",,"Included: Postdoctoral Research Associates, Postdoctoral Fellows, Research Fellows, and
Dean's Faculty Fellows
Excluded: All clerical employees, confidential employees, managers, and guards, professional
employees and supervisors as defined in the Act.",
R,"Region 01, Boston, Massachusetts",01-RM-332689,"Casella Waste Management, Inc.",Closed,12/28/2023,08/13/2024,"Withdrawal Non-adjusted",Cheshire,MA,38,"Petitioner, Legal Representative, Webber Melanie, Fisher Phillips LLP, 200 Public Square, Suite 4000, Cleveland, OH, 44114-2322, (440)740-2134
Petitioner, Employer, Casella Waste Management, Inc., Cheshire, MA, 01225, (413)776-9004
Involved Party, Union, International Brotherhood of Teamsters Joint Council 10 on behalf of Local 404, (774)278-0948
",,"Included: All full-time and regular part-time Drivers, Laborers and Dispatchers


Excluded: Managers, guards, professional employees & superv
isors.",
R,"Region 13, Chicago, Illinois",13-RC-332604,"Lakeshore Recycling Systems, LLC",Closed,12/28/2023,01/30/2024,"Certific. of Representative",Rockdale,IL,5,"Petitioner, Legal Representative, Lichtman David, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, LLP, 8 S Michigan Ave  Ste 1900, Chicago, IL, 60603, (312)372-1361
Employer, Legal Representative, Zimring Jon, Greenberg Traurig LLP, 77 West Wacker Drive, Suite 3100, Chicago, IL, 60601, (312)456-1056
Petitioner, Legal Representative, Groff Josiah, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, 8 South Michigan Avenue, Suite 1900, Chicago, IL, 60603-3315, (312)372-1361
Employer, Legal Representative, Davidson Kerry, Greenberg Traurig LLP, 77 West Wacker Drive, Suite 3100, Chicago, IL, 60601, (312)456-1069
Employer, Employer, Lakeshore Recycling Systems, LLC, Rockdale, IL, 60436, (773)418-8063
Petitioner, Union, International Brotherhood of Teamsters Local #179, Joliet, IL, 60431, (815)741-2200
","International Brotherhood of Teamsters Local No. 179","Included:  All employees of Moen Transfer Station.

Excluded: All supervisors, managers, guards, and all other non-employees.",5
R,"Region 32, Oakland, California",32-RM-332687,"Transdev North America, Inc.",Closed,12/28/2023,04/05/2024,"Certification of Results",Tulare,CA,7,"Involved Party, Legal Representative, Bangs Christopher, Amalgamated Transit Union Local 788, 10000 New Hampshire Avenue, Silver Spring, MD, 20903, (301)431-7100
Petitioner, Legal Representative, Foster James, McMahon & Berger, PC, 2730 North Ballas Road, Suite 200, St. Louis, MO, 63131-3039, (314)567-7350
Petitioner, Legal Representative, Fennessey Rex, McMahon Berger PC, 2730 NORTH BALLAS ROAD SUITE 200, P.O. BOX 31901, ST LOUIS, MO, 63131, (314)567-7350
Petitioner, Legal Representative
Petitioner, Employer, Transdev North America, Tulare, CA, 93274, (972)689-4887
Involved Party, Union, Amalgamated Transit Union Local 1027, Fresno, CA, 93721, (559)442-4140
","Amalgamated Transit Union Local 1027","Included: All full-time and regular part-time Customer Service Representatives.

Excluded: All other employees, office clerical employees, professional employees, guards and supervisors, as defined by the Act.",7
