"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 01, Boston, Massachusetts",01-RC-253976,Cannistraro,Closed,12/31/2019,01/13/2020,"Withdrawal Non-adjusted",Boston,MA,3,"Employer, Legal Representative, GROSSO JAMES, O’Reilly Grosso  Gross & Jones PC, 1661 Worcester Rd., Suite 403, FRAMINGHAM, MA, 01701-5400, (508)620-0055
Employer, Employer, Cannistraro, Watertown, MA, 02472-2258, (617)926-0092
Petitioner, Union, Teamsters Joint Council 10 of New England/Teamsters Local 25, Boston, MA, 02129-____, (617)241-8825
",,"Included: receivers Excluded: management and supervisors as defined by the act",
R,"Region 04, Philadelphia, Pennsylvania",04-RD-253955,"Wind Creek Bethlehem, LLC",Closed,12/31/2019,02/10/2020,"Certification of Results",Bethlehem,PA,131,"Involved Party, Legal Representative, Gregory Gordon, SPFPA, 65 Cadillac Sq, Ste 3727, Detroit, MI, 48226-2893, (313)964-5600
Involved Party, Legal Representative, Olszewski Richard, Gregory, Moore, Brooks & Clark, P.C., 65 Cadillac Square, Suite 3727, Detroit, MI, 48226, (313)964-5600
Employer, Legal Representative, Lichtenstein Russell, Cooper Levinson, 1125 Atlantic Avenue, Suite 300, Atlantic City, NJ, 08401, (609)572-7676
Employer, Employer, Wind Creek Bethlehem, LLC, Bethlehem, PA, 18015, (484)777-7430
Petitioner, Individual
Involved Party, Union, International Union, Security, Police and Fire Professionals of America (SPFPA), Roseville, MI, 48066, (586)772-7250
",,"Included: All full-time and regular part-time Security Guards. Excluded: All other employees, locksmiths and supervisors as defined in the Act.",132
R,"Region 25, Indianapolis, Indiana",25-RD-253975,"Franklin Pest Solutions-North",Closed,12/31/2019,01/08/2020,"Withdrawal Non-adjusted","Michigan City",IN,10,"Petitioner, Additional Service, Novak Angie, 1715 Franklin Street, Michigan City, IN, 46360, (219)874-7900
Involved Party, Legal Representative, Vlink David, Macey Swanson Hicks & Sauer, LLP, 3719 S. East St. Ste. A, Indianapolis, IN, 46227, (219)688-8226
Employer, Legal Representative, Gore Scott, Laner Muchin, Ltd., 515 North State Street, Suite 2400, Chicago, IL, 60654, (312)467-9800
Involved Party, Union, Teamsters Local Union No. 135, Indianapolis, IN, 46203, (317)639-3541
Petitioner, Individual
Employer, Employer, FRANKLIN PEST SOLUTIONS - NORTH, INC., Michigan City, IN, 46360, (219)874-7900
Involved Party, Union, International Brotherhood of Teamsters Local 135, Indianapolis, IN, 46203
",,"Included:
Service Technicians.
Excluded:
Management, Sales, and Administration.",
R,"Region 18, Minneapolis, Minnesota",18-RM-253997,"Fleet Maintenance LLC. d/b/a Truck Fleet Maintenance, Inc.",Closed,12/31/2019,02/11/2020,"Withdrawal Non-adjusted","Eden Prairie",MN,16,"Petitioner, Legal Representative, Trachsel Thomas, Felhaber Larson, 220 South Sixth Street, Suite 2200, Minneapolis, MN, 55402-4504, (612)339-6321
Involved Party, Legal Representative, LePinske William, Automobile Mechanics' Local 701, International Association of Machinists and Aerospace Workers, AFL-CIO, 1200 Roosevelt Road, Suite 207, Glen Ellyn, IL, 60137, (815)280-6400
Petitioner, Employer, Fleet Maintenance LLC. d/b/a Truck Fleet Maintenance, Inc., Eden Prairie, MN, 55344, (952)944-1640
Involved Party, Union, International Association of Machinists and Aerospace Workers, AFL-CIO, District Lodge 77, Vadnais Heights, MN, 55127-2309, (651)645-7761
",,"All full-time and regular part-time technicians, helpers, parts employees, and service advisors employed by the Employer at its facility located at 7140 Washington Avenue South, Eden Prairie, MN;
Excluding:  Office clerical employees, confidential employees, guards and supervisors as defined in the Act, and all other employees.",
R,"Region 29, Brooklyn, New York",29-RC-253896,"Kickstarter, PBC",Closed,12/30/2019,02/27/2020,"Certific. of Representative",Brooklyn,NY,89,"Employer, Legal Representative, Mincer Elizabeth, Duane Morris, LLP, 30 South 17th Street, Philadelphia, PA, 19103, (215)979-1859
Employer, Legal Representative, Klein Eve, Duane Morris, LLP, 22 Vanderbilt,, 335 Madison Avenue, New York, NY, 10017, (212)692-1065
Employer, Employer, Kickstarter, PBC, Brooklyn, NY, 11122-____
Petitioner, Union, Office and Professional Employees International Union, Local 153, New York, NY, 10011-____, (845)399-0135
","Office and Professional Employees International Union, Local 153","Included: All full-time and regular part-time employees including Accountants; Arts Outreach Leads; Associate Art Directors, Photo & Video; Associate Data Scientists; Associate Editorial Directors; Associate Product Managers; Comics Outreach Leads; Community Support Specialists II; Content Directors, Brand; Content Directors, Creator Development; Creative Content Directors; Creative Project Coordinators; Directors of Documentary Film; Directors of Games Outreach; Directors of Integrity; Directors of Music; Directors of Narrative Film; Events & Workplace Coordinators; Experimentation Managers; Facilities Coordinators; Front End Engineers; Front-end Software Developers; Graphic Designers; IT/AV Specialists; Marketing Specialists, Email & Automation; Operations Engineer; Outreach Leads, Japan; Product Designers; Product Managers; Recruiters; Senior Accountants; Senior Android Engineers; Senior Business Analysts, Insights; Senior Data Engineers; Senior Data Scientists; Senior Editors; Senior Graphic Designers; Senior Managers, People Operations; Senior Marketing Managers; Senior Outreach Leads for Performing Arts; Senior Outreach Leads, Design & Technology; Senior Outreach Leads for Journalism; Senior Product Designers; Senior Product Managers; Senior Recruiters; Senior Research Analysts; Senior Software Engineers; Senior Support Specialists; Senior Support Specialists, Payments; Senior UX Writers; Social Media Specialists; Software Engineers; Trust & Safety Analysts I; Trust & Safety Analysts, Moderation; Trust & Safety Analysts, Risk; and Trust & Safety, Legal & Compliance employed by the Employer remotely and at its premises located at 58 Kent Street, Brooklyn, New York.

Excluded: All temporary employees, managers, confidential employees, guards and supervisors as defined by the Act.",88
R,"Region 21, Los Angeles, California",21-RC-253940,"San Diego Gas & Electric Company",Closed,12/30/2019,03/02/2020,"Certification of Results","San Diego",CA,9,"Employer, Legal Representative, Siegel Jonathan, Jackson Lewis P.C., 200 Spectrum Center Dr  Ste 500, Irvine, CA, 92618-5005, (949)885-1362
Petitioner, Legal Representative, Prochazka Richard, 2525 Camino Del Rio S., Ste. 209, San Diego, CA, 92108-3719, (619)296-7676
Employer, Employer, SAN DIEGO GAS & ELECTRIC COMPANY, SAN DIEGO, CA, 92123
Petitioner, Union, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL UNION 465, AFL-CIO, San Diego, CA, 92121-2410
",,"Included: All Full time and part time and bi-lingual Account Management Specialists (AMS) and Account Research Representatives (ARR), and Senior Account Management Specialists (Sr. AMS)

Excluded: All other employees, Representatives/Electrical Service Specialists, Office Clerical Employees, professional employees, managerial Employees, Guards and Supervisors as defined in the Act, as amended",14
R,"Region 20, San Francisco, California",20-RC-253866,"Turning Point Community Programs",Closed,12/27/2019,01/24/2020,"Withdrawal Non-adjusted",Sacramento,CA,28,"Employer, Additional Service, Rowlett Al, Turning Point Community Programs Pathway to Success After Homelessness, 10850 Gold Center Drive  Suite 325, Rancho Cordova, CA, 95670, (916)364-8395
Petitioner, Legal Representative, Malkani Latika, Siegel LeWitter Malkani, 1939 Harrison Street, Suite 307, Oakland, CA, 94612-4712, (510)452-5000
Employer, Employer, Turning Point Community Programs Pathway to Success After Homelessness, Sacramento, CA, 95384
Petitioner, Union, National Union of Healthcare Workers, Emeryville, CA, 94608, (510)834-2009
",,"Included: All full-time, regular part-time and per diem employees in the following job
classifications employed by the employer at 3810 Rosin Court, Suite 180, Sacramento CA
95384, in the following job classifications: Family Coordinator, Personal Service Coordinator I, Personal Service Coordinator II, Personal
Service Coordinator III, Quality Assurance Coordinator, Assessment Team Coordinator I, Psych
Nurse
Excluded: All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor
Relations Act.",
R,"Region 21, Los Angeles, California",21-RC-253880,"Methodist Hospital of Southern California",Closed,12/27/2019,01/30/2020,"Certific. of Representative",Arcadia,CA,210,"Petitioner, Legal Representative, Wiesner Eric, California Nurses Association, 155 Grand Ave., Ste. 100, Oakland, CA, 94612, (510)273-2286
Employer, Legal Representative, Finch Peter, Davis Wright Tremaine LLP, 920 5th Avenue, Suite 3300, Seattle, WA, 98104-1610, (206)622-3150
Employer, Employer, METHODIST HOSPITAL OF SOUTHERN CALIFORNIA, ARCADIA, CA, 91007
Petitioner, Union, Caregiver and Healthcare Employees Union (CHEU), Oakland, CA, 94612
","Caregiver and Healthcare Employees Union (CHEU)","Included: All full-time, regular part-time, and per diem technical employees, including Emergency Room Technicians (EMTs), Laboratory Pathologists, Radiology Technologists, CT Scan Radiology Technologists, Vascular Radiology Technologists, Ultrasound Technicians, Nuclear Medicine Technologists, Licensed Vocational Nurses (L VNs), Certified Surgical Technicians 
(CSTs), MRI Technicians, Laboratory Technicians, Respiratory Care Therapists, employed by the Employer at its 300 W. Huntington Drive, Arcadia, California and 301 W. Huntington Drive, Arcadia, California facilities. 

Excluded: All other employees, managerial employees, confidential employees, guards, and supervisors within the meaning of the Act.",151
R,"Region 28, Phoenix, Arizona",28-RC-253872,"The Mirage Las Vegas Hotel & Casino d/b/a The Mirage",Closed,12/27/2019,01/17/2020,"Withdrawal Non-adjusted","Las Vegas",NV,142,"Employer, Legal Representative, Kott Ashley, MGM Resorts International Operations, Inc., 6385 South Rainbow Boulevard Suite 500, Las Vegas, NV, 89118-3201, (702)692-1294
Employer, Legal Representative, TRIMMER PAUL, Jackson Lewis, L.L.P., 300 South Fourth Street, Suite 900, Las Vegas, NV, 89101, (702)921-2460
Petitioner, Legal Representative, Olszewski Richard, Gregory, Moore, Brooks & Clark, P.C., 65 Cadillac Square, Suite 3727, Detroit, MI, 48226, (313)964-5600
Petitioner, Legal Representative, Brooks Scott, Gregory, Moore, Jeakle & Brooks, P.C., 28 W ADAMS AVE, STE 300, DETROIT, MI, 48226-1613, (313)964-5600
Employer, Employer, The Mirage Las Vegas Hotel & Casino d/b/a The Mirage, Las Vegas, NV, 89109
Petitioner, Union, International Union, Security, Police and Fire Professionals of America (SPFPA), Washington, DC, 20006
",,"Included: All full-time and part-time armed and unarmed security officers performing guard duties as defined in Section 9(b)(3) of the National Labor Relations Act, employed by The Mirage Las Vegas Hotel & Casino d/b/a The Mirage @ 3400 S. Las Vegas Blvd, Las Vegas, NV 89109.
Excluded: All other employees including office clerical employees, professional employees and supervisors as defined by the Act.",
R,"Region 21, Los Angeles, California",21-RC-253882,"Methodist Hospital of Southern California",Closed,12/27/2019,01/30/2020,"Certific. of Representative",Arcadia,CA,400,"Petitioner, Legal Representative, Wiesner Eric, California Nurses Association, 155 Grand Ave., Ste. 100, Oakland, CA, 94612, (510)273-2286
Employer, Legal Representative, Finch Peter, Davis Wright Tremaine LLP, 920 5th Avenue, Suite 3300, Seattle, WA, 98104-1610, (206)622-3150
Employer, Employer, METHODIST HOSPITAL OF SOUTHERN CALIFORNIA, ARCADIA, CA, 91007
Petitioner, Union, Caregiver and Healthcare Employees Union (CHEU), Oakland, CA, 94612
","Caregiver and Healthcare Employees Union (CHEU)","Included:  All full-time, regular part-time, and per diem service and maintenance employees, including Unit Secretaries/Monitor Technicians, Patient Access Representatives, Certified Nursing Assistants (CNAs), Secretaries, SRV Technicians (OR), Phlebotomists, 
ECHO/EKG/TMT Technicians, Central Supply/Distribution Technicians, Transporters, Patient Sitter Aides, Sterile Processing Technicians (SPD), Patient Financial Advocates, and Teachers, employed by the Employer at its 300 W. Huntington Drive, Arcadia, California and 301 W. Huntington Drive, Arcadia, California facilities. 

Excluded:  All other employees, managerial employees, confidential employees, guards, and supervisors within the meaning of the Act.",534
