"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 10, Atlanta, Georgia",11-RC-071606,"Asplundh Expert Tree Co.",Closed,12/30/2011,03/21/2012,"Certific. of Representative",CHARLOTTE,NC,9,"Petitioner, Additional Service, Murphy John, INTERNATIONAL BROTHERHOOD OF ELECTRICAL WORKERS, LOCAL NO. 80, 1028 Bethel Church Rd, Franklin, NC, 28734-6846, (252)414-7388
Employer, Legal Representative, Jenero Kenneth, 131 S Dearborn St Fl 30, Chicago, IL, 60603-5517, (312)715-5790
Employer, Employer, ASPLUNDH TREE EXPERT CO., Charlotte, NC, 28217-1715, (336)906-4415
Petitioner, Union, International Brotherhood of Electrical Workers, Local Union 342, Greensboro, NC, 27409-9690
","International Brotherhood of Electrical Workers, Local Union 342","Included:  Working foremen (crew forepersons), Bucket men and groundmen (crew members).

Excluded:  True Supervisors as defined by the Act performing supervisory duties and Guards as defined by the Act.",6
R,"Region 15, New Orleans, Louisiana",26-RD-071659,"Epoxyn Products",Closed,12/30/2011,02/15/2012,"Certification of Results","Mountain Home",AR,120,"Employer, Legal Representative, FRANCIN ROB, 1 Reagent Ln, Fair Lawn, NJ, 07410-2802
Employer, Employer, EPOXYN PRODUCTS, Mountain Home, AR, 72653-5522
Petitioner, Individual
Involved Party, Union, UNITED BROTHERHOOD OF CARPENTERS AND JOINERS ARKANSAS REGIONAL COUNCIL LOCAL NO.1225, Mize, MS, 39116-5051
",,"all full-time production, warehouse, mainteance employeesm including group leaders, employed by the employer at Mountain Home, Arkansas",131
R,"Region 02, New York, New York",02-UD-071653,Metroplex,Closed,12/30/2011,06/18/2012,"Withdrawal Non-adjusted",HARRIMAN,NY,84,"Employer, Employer, MARTIN BROWER METROPLEX, Harriman, NY, 10926-3100, (845)492-5208
Petitioner, Individual, DEVIN RODRIGUEZ
Intervenor, Union, Local 445, International Brotherhood of Teamsters, Rock Tavern, NY, 12575-5025
",,"WAS LEFT BLANK IN PETITION",
R,"Region 04, Philadelphia, Pennsylvania",04-RC-071635,"Friends Behavioral Health System, L.P.",Closed,12/30/2011,03/26/2012,"Withdrawal Non-adjusted",Philadelphia,PA,240,"Petitioner, Legal Representative, Walters Jonathan, Markowitz and Richman, 123 S. Broad St., Ste. 2020, Philadelphia, PA, 19109, (215)875-3121
Employer, Legal Representative, FRIEDMAN MICHAEL, Jackson Lewis, P.C., 3 Benjamin Franklin Pkwy, 1601 Cherry Street Ste 1350, Philadelphia, PA, 19102-1321, (267)319-7802
Employer, Legal Representative, Passarella Michael, Jackson Lewis, P.C., 44 South Broadway, 14th Floor, White Plains, NY, 10601, (914)872-8060
Employer, Legal Representative, GRIMALDI RICK, Jackson Lewis, P.C., 3 Benjamin Franklin Pkwy, 1601 Cherry Street Ste 1350, Philadelphia, PA, 19102-1321, (267)319-7803
Employer, Legal Representative, Gilson Roger, JACKSON LEWIS, PC, 44 South Broadway, 14th Floor, White Plains, NY, 10601, (914)872-6877
Employer, Employer, FRIENDS BEHAVIORAL HEALTH SYSTEM, L.P., Philadelphia, PA, 19124-2398, (215)831-4600
Petitioner, Union, PASNAP-Crozer Chester Nurses Association, Conshohocken, PA, 19428-4139, (610)567-2907
",,"Included:  All full time, part time and per diem Registered Nurses, Licensed Practical Nurses and Mental Health Technicians employed by the Employer at its 4641 Roosevelt Blvd., Philadelphia, PA facility, including its Greystone and Hillside residential facilities.

Excluded:  All other employees, Administrators on Duty, managers, guards and supervisors as defined in the Act.",
R,"Region 19, Seattle, Washington",19-RC-071678,"Evergreen at Missoula, LLC dba Missoula Health and  Rehabilitation Center",Closed,12/30/2011,02/07/2012,"Withdrawal Non-adjusted",Missoula,MT,28,"Employer, Legal Representative, Collier Adam, Bullard Law, 1000 SW Broadway Ste 1900, Portland, OR, 97205-3071, (503)660-3724
Employer, Employer, EVERGREEN AT MISSOULA, LLC DBA MISSOULA HEALTH AND REHABILITATION  CENTER, Missoula, MT, 59802-6101, (406)549-0988
Petitioner, Union, UNITE HERE! LOCAL 427, Missoula, MT, 59802-4427, (406)549-5931
",,"Included:  All regular full-time and part-time Certified Nursing Assistants, Nursing Assistants, Certified Personal Care Attendants, Personal Care Attendants, Cooks, Dietary Aides, Housekeepers, Laundry Workers, Activities Workers, and  Maintenance Workers.  

Excluded:  Administrators, Office Clerical Employees, Registered Nurses, Licensed Practical Nurses, Supervisors, Guards, Confidential Employees and all other employees excluded under the Act.",
R,"Region 05, Baltimore, Maryland",05-RC-071547,"Jenkins Security Consultants",Closed,12/29/2011,02/27/2012,"Certific. of Representative",Bethesda,MD,40,"Employer, Employer, DFW Security Protective Service, Washington, DC, 20018-3223, (817)831-2000
Petitioner, Union, Union Rights for Security Officers (URSO), New York, NY, 10001, (240)723-6234
","Union Rights for Security Officers (URSO)","Included:  All full-time regular part-time Security Officers and Sergeants assigned to the DIA Defense Intelligence Agency located at 4600 Sangamore Road, Bethesda, Maryland 20816, employed by the employer.
Excluded:  All Captains, Lieutenants and other supervisors employed by the employer as defined by the ACT",52
R,"Region 03, Buffalo, New York",03-RC-071566,"NCR Corporation",Closed,12/29/2011,03/06/2012,"Certification of Results","Rock Tavern",NY,101,"Employer, Additional Service, GLASER GARY, Seyfarth Shaw, LLP, 22 East Park Drive, Old Bethpage, NY, 11804, (516)524-0909
Employer, Legal Representative, GALLIGAN PAUL, Seyfarth Shaw, LLP, 22 East Park Drive, Old Bethpage, NY, 11804, (212)218-5521
Employer, Employer, NCR Corporation, Duluth, GA, 30096, (901)508-2575
Petitioner, Union, TEAMSTERS LOCAL 445, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, Rock Tavern, NY, 12575-5025, (845)564-5297
",,,74
R,"Region 06, Pittsburgh, Pennsylvania",06-RC-071580,"Price Gregory International, Inc.",Closed,12/29/2011,01/12/2012,"Withdrawal Non-adjusted","Cogan Station",PA,200,"Employer, Legal Representative, CYR ELIZABETH, AKIN GUMP STRAUSS HAUER & FELD LLP, 1333 New Hampshire Avenue, NW, Suite 400, Washington, DC, 20036-1564, (202)887-4000
Employer, Legal Representative, LEVIEN LAWRENCE, AKIN GUMP STRAUSS HAUER & FELD LLP, 1333 New Hampshire Avenue, NW, Suite 400, Washington, DC, 20036-1564, (202)887-4000
Petitioner, Legal Representative, Manley Michael, International Brotherhood of Teamsters (IBT), 8951 West Sahara Avenue, Suite 100, Las Vegas, NV, 89117, (202)624-8711
Employer, Employer, PRICE GREGORY INTERNATIONAL, INC., Houston, TX, 77024-2650, (713)780-7500
Petitioner, Union, International Brotherhood of Teamsters (IBT), Austin, TX, 78741, (202)624-6940
",,,
R,"Region 04, Philadelphia, Pennsylvania",04-RD-071600,"Renal Care Group East, Inc.",Closed,12/29/2011,02/23/2012,"Certification of Results",Wynnewood,PA,29,"Involved Party, Legal Representative, Geren Lance, Freedman & Lorry, P.C., 1601 Market Street, Suite 2500, Philadelphia, PA, 19103-2302, (215)735-1300
Employer, Legal Representative, SERVODIDIO THOMAS, Duane Morris, LLP, 1845 Walnut Street, 24th Floor, Philadelphia, PA, 19103, (215)979-1000
Petitioner, Individual
Employer, Employer, RENAL CARE GROUP EAST, INC., Wynnewood, PA, 19096-3438, (610)658-6313
Involved Party, Union, NATIONAL UNION OF HOSPITAL & HEALTH CARE EMPLOYEES, DISTRICT 1199C, AFSCME AFL-CIO, Philadelphia, PA, 19107
",,"Included:  Dialysis Technicians.
Excluded:  Nurses, Biomed, Dietitian, Social workers and clerks.",29
R,"Region 14, Saint Louis, Missouri",17-RC-071485,"Dean E. Norris, Inc., Professional Mechanical Contractors, Inc. and DEN Mechanical, Inc., as a single employer",Closed,12/28/2011,03/05/2012,"Certific. of Representative",Wichita,KS,45,"Employer, Legal Representative, Berner Donald, Foulston Siefkin LLP, 1551 N Waterfront Pkwy, Suite 100, Wichita, KS, 67206-6605, (316)291-9738
Petitioner, Legal Representative, HURLEY JOHN, JOLLEY, WALSH, HURLEY & RAISHER, P.C., 204 W Linwood Blvd, Kansas City, MO, 64111-1328, (816)561-3755
Employer, Employer, DEAN E. NORRIS, INC., PROFESSIONAL MECHANICAL CONTRACTORS, INC., AND DEN MANAGEMENT COMPANY, INC., AS A SINGLE EMPLOYER, Wichita, KS, 67210-1542, (316)688-1901
Petitioner, Union, Sheet Metal Workers International Union, Local No. 29, Wichita, KS, 67213-1433
","Sheet Metal Workers International Union, Local No. 29","All employees performing fabrication and installation of sheet metal HVAC and associated work employed by Dean E. Norris, Inc., Professional Mechanical Contractros, Inc. and DEN Mechanical, Inc., a single employer, at its Wichita, KS faciltiies, but EXCLUDING supervisors, management employees, office clerical employees, and all other employees.",46
