"Case Type",Region,"Case Number","Case Name",Status,"Date Filed","Date Closed","Reason Closed",City,"States & Territories","Employees on charge/petition",Participants,Union,"Unit Sought",Voters
R,"Region 03, Buffalo, New York",03-RC-095640,"The S.W. Pitts Hose Company of Latham, N.Y.,  Inc.",Closed,12/31/2012,03/14/2013,"Certific. of Representative",Latham,NY,3,"Employer, Legal Representative, CLARK JOHN, DUCHARME, HARP & CLARK, LLP, 10 Maxwell Dr Ste 205, Clifton Park, NY, 12065-2933, (518)373-1482
Petitioner, Legal Representative, SACCOCIO JOHN, HINMAN STRAUB PC, 121 State St, Albany, NY, 12207-1633, (518)436-0751
Employer, Employer, THE S. W. PITTS HOSE COMPANY OF LATHAM, N.Y., INC., Latham, NY, 12110-2944, (518)785-1283
Petitioner, Union, LOCAL 4924, COLONIE PROFESSIONAL FIREFIGHTERS ASSOCIATION, INTERNATIONAL ASSOCIATION OF FIREFIGHTERS, Watervliet, NY, 12189-2957
","LOCAL 4924, COLONIE PROFESSIONAL FIREFIGHTERS ASSOCIATION, INTERNATIONAL ASSOCIATION OF FIREFIGHTERS","All full-time and regular part-time fire fighters and EMTS.  Excluded:  Volunteers, office clerical employees, guards, professional employees and supervisors as defined by the Act.",4
R,"Region 01, Boston, Massachusetts",01-RC-095643,"Preferred Freezer Services of Avon",Closed,12/31/2012,01/03/2013,"Withdrawal Non-adjusted",Avon,MA,8,"Petitioner, Additional Service, RAYMOND BRADLEY, International Brotherhood of Teamsters, 8951 West Sahara Avenue, Suite 100, Las Vegas, NV, 89117, (202)624-6847
Employer, Legal Representative, Kirschner Kenneth, Hogan Lovells LLP, Hogan Lovells US LLP, 390 Madison Avenue, New York, NY, 10017, (212)918-3260
Employer, Employer, PREFERRED FREEZER SERVICES OF AVON, Avon, MA, 02322-1153, (508)521-6000
Petitioner, Union, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, A/W GENERAL TEAMSTERS, CHAUFFEURS, WAREHOUSEMEN & HELPERS OF BROCKTON & VICINITY,  LOCAL 653, South Easton, MA, 02375, (508)807-7677
",,"Included:  All Warehouseman, Forklift Drivers and Material Handlers

Excluded:  All Managers, Supervisors, Office Clerical, Clerical, Maintenance, and Guards as defined in the Act",
R,"Region 09, Cincinnati, Ohio",09-RC-095648,"DAYTON HEIDELBERG DISTRIBUTING CO.",Closed,12/31/2012,02/15/2013,"Certific. of Representative",COLUMBUS,OH,105,"Employer, Legal Representative, Brown Craig, Littler Mendelson, PC, 1100 Superior Avenue East, 20TH FLR, Cleveland, OH, 44114-2518, (216)696-7600
Petitioner, Legal Representative, Ford Julie, Doll, Jansen & Ford, LLC, 111 W 1st St Ste 1100, Dayton, OH, 45402-1106, (937)461-5310
Petitioner, Additional Service, KEPLER RICK, INTERNATIONAL BROTHERHOOD OF TEAMSTERS, 1990 Connect Rd, Norton, OH, 44203-1062, (216)401-2014
Employer, Employer, DAYTON HEIDELBERG DISTRIBUTING CO. D/B/A HEIDELBERG DISTRIBUTING COMPANY, Columbus, OH, 43228-1457, (614)308-0400
Petitioner, Union, Teamsters Miscellaneous and Industrial Workers Local Union No. 284, Franklin, OH, 45005-5593
","Teamsters Miscellaneous and Industrial Workers Local Union No. 284","Included:  All full-time and regular part-time drivers and warehouse employees at the Employer's Columbus facility.

Excluded:  All sales, office, clerical and professional employees and all supervisors and guards as defined in the Act.",94
R,"Region 13, Chicago, Illinois",13-RD-095653,"Staffing Dimensions of Libertyville, LLC",Closed,12/31/2012,11/08/2013,"Certific. of Representative",Libertyville,IL,140,"Employer, Legal Representative, JOHLIE CHRISTOPHER, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, 300 S Wacker Dr Ste 3400, Chicago, IL, 60606-6763
Employer, Legal Representative, Fowler Erin, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, 300 S Wacker Dr Ste 3400, Chicago, IL, 60606-6763
Involved Party, Additional Service, Carter Jane, AFSCME District Council 52, 1625 L Street, NW, Washington, DC, 20036-5665, (202)429-1000
Involved Party, Additional Service, Dempsey John, American Federation of State, County and Municipal Employees (AFSCME), AFL-CIO, 1101 17th Street, N.W. Ste 900, Washington, DC, 20036, (202)775-5900
Involved Party, Legal Representative, AUERBACH MELISSA, Dowd, Bloch, Bennett, Cervone, Auerbach & Yokich, 25 E Washington St  Ste 1400, Chicago, IL, 60602-1803, (312)236-7800
Employer, Employer, Staffing Dimensions of Libertyville, LLC, Libertyville, IL, 60048-1304, (973)768-3011
Petitioner, Individual
Petitioner, Individual
Involved Party, Union, AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES (AFSCME) COUNCIL 31, AFL-CIO, LOCAL 2452, Chicago, IL, 60601-5958, (312)641-6060
","AFSCME COUNCIL 31, LOCAL 2452","Included:  All employees that are non-management and all positions that are non-Management.  Excluded:  Management positions.",124
R,"Region 25, Indianapolis, Indiana",25-RD-095645,"ADM GRAIN",Closed,12/31/2012,01/09/2013,"Withdrawal Non-adjusted",INDIANAPOLIS,IN,11,"Employer, Employer, Archer Daniels Midland, Indianapolis, IN, 46203-3308, (317)784-2200
Involved Party, Union, Teamsters Local Union, No. 135, Indianapolis, IN, 46203
Petitioner, Individual
",,"Included:
all full time and regular part time labor and maintnance employees

Excluded:
all other employees, guards and supervisors as defined in the Act.",
R,"Region 19, Seattle, Washington",19-RC-095594,"Teamsters Local Union No. 162, International Brotherhood of Teamsters",Closed,12/28/2012,01/03/2013,"Withdrawal Non-adjusted",Portland,OR,3,"Employer, Employer, General Teamsters Local Union 162, Portland, OR, 97230-5642, (503)257-0162
Petitioner, Union, Communications Workers of America, Local 7901, AFL-CIO, Portland, OR, 97266-1354, (503)238-6666
",,"All full time and part time office and clerical support; excluding elected officers and board members, guards, professionals and supervisors.",
R,"Region 05, Baltimore, Maryland",05-RD-095611,"Community Services for Autistic Adults and Children (CSAAC)",Closed,12/28/2012,01/10/2013,"Withdrawal Non-adjusted","Montgomery Village",MD,400,"Petitioner, Individual
Involved Party, Union, SERVICE EMPLOYEES INTERNATIONAL UNION, CTW, LOCAL 500, Gaithersburg, MD, 20879-3281
Employer, Employer, COMMUNITY SERVICES FOR AUTISTIC ADULTS AND CHILDREN (CSAAC), Montgomery Village, MD, 20886-4316, (301)980-8723
",,"Included:
All full-time and regular part-time teacher assistants, residential counselors, awake overnight counselors, vocational counselors, instructional technicians, family support technicians, bus operators, janitors and office clerical employees employed by CSAAC.
Excluded:
All other employees, irregular, intermittent or casual employees, professional employees, nurses, confidential employees, managers, guards, and supervisors as defined in the Act.",
R,"Region 29, Brooklyn, New York",29-RC-095612,"Air Serv Corp.",Closed,12/28/2012,02/12/2013,"Certific. of Representative",Flushing,NY,38,"Petitioner, Legal Representative, GRABOIS ANDREW, O'Dwyer & Bernstien, LLP, 52 Duane St Fl 5, Paul O Dwyer Way, New York, NY, 10007-1229, (212)571-7100
Employer, Legal Representative, Gilaad Elana, ABM INDUSTRIES INCORPORATED, 551 Fifth Avenue, Room 300, New York, NY, 10176-0399, (212)297-9720
Employer, Employer, ABM INDUSTRIES INC. D/B/A AIRSERV CORP, Flushing, NY, 11371-
Petitioner, Union, LOCAL 811, U.S.W.U., IUJAT, Long Island City, NY, 11106-2329
Intervenor, Union, Service Employees International Union, Local 32BJ, New York, NY, 10011-4677
","32BJ SEIU","Included: All full time and part time bus operators, bus drivers, and shuttle service employees of the employer operating at LaGuardia Airport.

Excluded: All supervisors, guards and managerial employees, as defined by the Act.",40
R,"Region 05, Baltimore, Maryland",05-RC-095628,"Chenega Aerospace LLC",Closed,12/28/2012,01/10/2013,"Withdrawal Non-adjusted","Falling Waters",WV,4,"Petitioner, Union, SECURITY EMPLOYEES UNION (SEU), Silver Spring, MD, 20914-5017, (817)831-2000
Employer, Employer, CHENEGA AEROSPACE, LLC, Alexandria, VA, 22315-4647, (703)822-2062
",,"Included:
All full-time and regular part-time security officers employed by the Employer at the Department of Veteran Affairs facility currently located at Falling Waters, WV 25419.
Excluded:
All project managers, office clerical employees, professional employees and supervisors as defined in the Act.",
R,"Region 05, Baltimore, Maryland",05-RC-095634,"Chenega Aerospace, LLC",Closed,12/28/2012,01/10/2013,"Withdrawal Non-adjusted",Winchester,VA,17,"Petitioner, Union, SECURITY EMPLOYEES UNION (SEU), Silver Spring, MD, 20914-5017, (817)831-2000
Employer, Employer, CHENEGA INTEGRATED SYSTEM, Alexandria, VA, 22315-4647, (703)822-2062
",,"Included:  All full-time and regular part-time security officers employed by the Employer at the FEMA facility currently located at 430 Market Street, Winchester, VA 

Excluded: All project managers, office clerical employees, professional employees and supervisors as defined in the Act.",
